id_ci,id_delito,dto,moda_dto,forma_acc,fha_de_hchos,hra_de_hchos,emto_com_dto,grdo_cons,clasf_de_dto,nom_ent_hchos,id_ent_hchos,nom_mun_hchos,id_mun_hchos,nom_loc_hchos,id_loc_hchos,nom_col_hchos,id_col_hchos,cp,coord_x,coord_y,dom_hchos
522831,515005,"Robo de vehículo",Agravado/Calificado,1,2025-09-23,15:48:00,1,1,4.01.02.01,Michoacán,16,Uruapan,102,Capácuaro,161020001,Capacuaro,3819,60210,-102.05378926243,19.545112555136,"CARAPAN-URUAPAN, PASANDO SOBRE LA COMUNIDAD D"
522831,515006,"Robo a transportista",Agravado/Calificado,1,2025-09-23,15:48:00,1,1,4.01.04,Michoacán,16,Uruapan,102,Capácuaro,161020001,Capacuaro,3819,60210,-102.05378926243,19.545112555136,"CARAPAN-URUAPAN, PASANDO SOBRE LA COMUNIDAD D"
523207,515384,Fraude,Simple,2,2025-09-08,10:00:00,5,1,4.02,Michoacán,16,Morelia,53,Morelia,160530001,"Las Américas",571,58270,-101.1430693,19.6935524,"av buenos aires"
522834,515009,Amenazas,Simple,1,2025-09-23,07:15:00,6,1,7.02,Michoacán,16,Morelia,53,Morelia,160530001,"Nueva Valladolid",384,58190,-101.2160389,19.6962379,"gaspar de  villadiego"
522946,515121,"Robo de vehículo",Calificado,2,2025-09-22,13:00:00,6,1,4.01.02.01,Michoacán,16,Uruapan,102,Uruapan,161020001,"San Rafael",3678,60137,-102.00118901291,19.417611860143,"BOULEVARD INDUSTRIAL CIRCUITO"
522987,515165,"Narcomenudeo (en su modalidad de posesión simple)",Calificado,2,2025-09-24,15:55:00,6,1,7.01.01,Michoacán,16,Queréndaro,72,Queréndaro,160720001,"Isaac Arriaga",10227,58980,-100.8949377,19.8116876,"ARTICULO 123"
522866,515041,"Robo a casa habitación",Simple,1,2025-09-24,18:30:00,3,1,4.01.01,Michoacán,16,"La Piedad",69,"La Piedad de Cabadas",160690001,"Arroyo Hondo",2497,59335,-102.0320651,20.3669048,"MONTE BLANCO"
523868,516067,Receptación,Simple,2,2025-09-24,15:50:00,6,1,7.10,Michoacán,16,"Lázaro Cárdenas",52,"Ciudad Lázaro Cárdenas",160520001,"INFONAVIT Solidaridad Nacional",6174,60954,-102.2055202,17.9672004,"AV. UNIVERSITARIA"
523194,515370,"Daño en las cosas doloso",Simple,1,2025-09-23,08:20:00,7,1,4.05,Michoacán,16,Morelia,53,Morelia,160530001,"Centro Histórico",3,58000,-101.1952287,19.704845,"SANTIAGO TAPIA "
523115,515295,"Abuso de confianza",Simple,2,2025-09-24,11:30:00,6,1,4.03,Michoacán,16,Morelia,53,Morelia,160530001,Guadalupe,279,58140,-101.2229619,19.7098064,SEPTIMA
522903,515077,"Lesiones dolosas",Simple,1,2025-09-20,10:30:00,3,1,1.02.01,Michoacán,16,Zacapu,107,Zacapu,161070001,Anáhuac,1553,58630,-101.78241836382,19.817623430719,"VICENTE RIVAPALACIO"
522953,515128,"Homicidio culposo",Simple,2,2025-09-24,18:30:00,7,1,1.01.02,Michoacán,16,"La Piedad",69,"La Piedad de Cabadas",160690001,Centro,2478,59300,-102.0307309,20.3445409,"HERIBERTO JARA"
522906,515080,"Robo de vehículo",Agravado/Calificado,1,2025-09-24,17:00:00,1,1,4.01.02.01,Michoacán,16,Madero,49,"Villa Madero",160490001,"Villa Madero",1149,58480,-101.2970469,19.4260875,"CARR. TIRIPETIO - ERENDIRA EN LA LOCALIDAD DE"
523558,515748,"Lesiones dolosas",Simple,1,2025-09-22,09:00:00,3,1,1.02.01,Michoacán,16,"José Sixto Verduzco",113,"Pastor Ortiz",161130001,"Pastor Ortiz",1436,58540,-101.6115112,20.2133421,"FRANCISCO I MADERO"
523238,515415,"Violencia vicaria",Simple,2,2025-09-18,07:30:00,3,1,5.04,Michoacán,16,Zamora,108,"Zamora de Hidalgo",161080001,"Progreso Nacional",2924,59615,-102.2886305,20.0006052,"RINCONADA 10"
522881,515055,Fraude,Simple,2,2025-06-06,10:10:00,6,1,4.02,Michoacán,16,Morelia,53,Morelia,160530001,"Ejidal Tres Puentes",356,58175,-101.2130665,19.7055738,"PUENTES DE MARQUEZ"
522872,515047,"Daño en las cosas doloso",Simple,1,2025-09-22,00:00:00,7,1,4.05,Michoacán,16,Maravatío,50,"Colonia Maravatío",160500001,"San Miguel",7107,61253,-100.4505999,19.8876635,"REFORMA NORTE"
523100,515279,Abigeato,Calificado,1,2025-03-06,10:00:00,6,1,4.01.12,Michoacán,16,Charo,22,Charo,160220001,Charo,7356,61300,-101.04293943967,19.749606186223,"LOCALIDAD EN MORELIA"
522916,515092,"Falsificación y uso indebido de insignias y uniformes",Simple,2,2025-09-18,13:30:00,7,1,7.10,Michoacán,16,Morelia,53,Morelia,160530001,"Arko San Antonio",11244,58341,-101.2686394,19.666062,"EL COYOL "
