ID_CI,ID_DELITO,DTO,DTO_PRIN,MODA_DTO,FORMA_ACC,FHA_DE_HCHOS,HRA_DE_HCHOS,EMTO_COM_DTO,GRDO_CONS,CLASF_DE_DTO,NOM_ENT_HCHOS,ID_ENT_HCHOS,NOM_MUN_HCHOS,ID_MUN_HCHOS,NOM_LOC_HCHOS,ID_LOC_HCHOS,NOM_COL_HCHOS,ID_COL_HCHOS,CP,COORD_X,COORD_Y,DOM_HCHOS
1067,4,"ROBO TRANSPORTISTA","ROBO TRANSPORTISTA",1,1,2025-05-21,20:30:00,1,1,4.1.4,TLAXCALA,29,YAUHQUEMEHCAN,43,"SANTA MARÍA ATLIHUETZIAN",6,,,90454,19.37794983,-98.1578529,"CARRETERA FEDERAL MÉXICO- VERACRUZ, KILÓMETRO 3 COMO REFERENCIA EN LAS COORDENADAS 19.37794983986145, SANTA MARÍA ATLIHUETZIA, TLAXCALA -98.15785290585312,"
1068,7,"DESAPARICION COMETIDA POR PARTICULARES","DESAPARICION COMETIDA POR PARTICULARES",1,2,2025-02-16,10:30:00,7,1,7.10,TLAXCALA,29,"TZOMPANTEPEC ",38,"SAN ANDRES AHUAHUASTEPEC",2,,,90490,19.40127,-98.11854,"FRACCIONAMIENTO GIRASOLES, SAN ANDRES AHUASHUATEPEC, TLAXCALA"
1069,4,"ROBO TRANSEUNTE","ROBO TRANSEUNTE",1,1,2025-05-23,15:53:00,1,1,4.1.5,TLAXCALA,29,APIZACO,5,APIZACO,1,,,90337,19.41524,-98.13936,"APIZACO, TLAXCALA"
1070,4,"ROBO TRANSPORTISTA","ROBO TRANSPORTISTA",1,1,2025-05-22,20:00:00,1,1,4.1.4,TLAXCALA,29,APIZACO,5,APIZACO,1,,,90300,"19.349869081808073, ",-97.657303017995,"CARRETERA MEXICO -  VERACRUZ, DE UNA GASOLINERA DE PEMEX  LA ALTURA DE LA COMUNIDAD DE VICENTE GUERRERO, MUNICIPIO DE APIZACO,"
1071,7,"ALLANAMIENTO DE MORADA","ALLANAMIENTO DE MORADA",1,2,2025-05-22,19:40:00,7,1,7.3,TLAXCALA,29,PAPALOTLA,41,PAPALOTLA,1,,,90796,"19.148144646132835, -98.2242269187867",,"CALLE ÁLAMOS, NÚMERO 3, COMUNIDAD DE PANZACOLA MUNICIPIO DE PAPALOTLA DE XICOHTENCATL, TLAXCALA"
1072,4,"ROBO COMERCIO","ROBO COMERCIO",1,1,2025-05-23,07:24:00,1,1,4.1.11,TLAXCALA,29,TLAXCALA,33,"SANTA MARÍA ACUITLAPILCO ",16,,,90000,"19.263098260923847, ",-98.273132347619,"CALLE XICOTÉNCATL 37 SANTA MARÍA ACUITLAPILCO DEL MUNICIPIO DE TLAXCALA"
1073,4,"ROBO VEHICULO","ROBO VEHICULO",1,2,2025-05-23,10:00:00,7,1,4.1.2.1,TLAXCALA,29,ZACATELCO,44,ZACATELCO,1,,,90740,"19.190385859535983, ",-98.2359353453,"CALLE  HIDALGO, NUMERO  SETENTA  Y SEIS, SECCIÓN  TERCERA, BARRIO DE  GUARDIA, ZACATELCO, TLAXCALA"
1074,7,NARCOMENUDEO,NARCOMENUDEO,1,2,2025-05-23,23:50:00,7,1,7.1.1,TLAXCALA,29,APETATITLAN,2,"BELÉN ATZITZIMITITLAN ",2,,,90600,"19.351554641835264, ",-98.18524283034,"CALLE PROGRESO PERTENECIENTE A LA COMUNIDAD DE BELÉN ATZITZIMITITLAN COMO REFERENCIA A LA ALTURA DE LA FUENTE."
1075,4,"ROBO VEHICULO","ROBO VEHICULO",1,2,2025-05-23,20:40:00,7,1,4.1.2.1,TLAXCALA,29,APIZACO,5,APIZACO,1,"LOMA FLORIDA",,90640,"19.398717181875472, ",-98.131557157421,"AVENIDA COLEGIO HEROICO MILITAR, LOMA FLORIDA, APIZACO, TLAXCALA"
1076,4,"ROBO MOTOCICLETA","ROBO MOTOCICLETA",1,2,2025-05-23,19:40:00,7,1,4.1.2.2,TLAXCALA,29,CHIAUTEMPAN,10,CHIAUTEMPAN,1,"SAN ONOFRE",,90800,"19.314365006938345, ",-98.197125818782,"SEGUNDA PRIVADA DE DÍAZ VARELA, NÚMERO VEINTIUNO, COLONIA SAN ONOFRE, EN SANTA ANA CHIAUTEMPAN, TLAXCALA."
